model,roc_auc_mean,roc_auc_std,roc_auc_ci_lower,roc_auc_ci_upper,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_score_mean,f1_score_std,f1_score_ci_lower,f1_score_ci_upper
xgb_non_calibrated,0.7905960892350397,0.06500301396794948,0.6523768721198157,0.9041678639846743,0.6996382978723404,0.06789638405584468,0.5531914893617021,0.8297872340425532,0.6171488319801544,0.1053514613122788,0.3886904761904762,0.8125,0.6782309289711784,0.11032128882015368,0.4374320652173913,0.8697010869565216,0.6407869786357829,0.09146539409391369,0.4375,0.8
cb_non_calibrated,0.7897582568032872,0.06392126742672875,0.6575066137566138,0.9018459873459872,0.7058510638297872,0.06403645620231932,0.574468085106383,0.8297872340425532,0.6392290489823516,0.10914781902641016,0.42105263157894735,0.8423026315789471,0.6372394481259662,0.11013004745291012,0.42857142857142855,0.85,0.6319950507306248,0.08999746983613005,0.4375,0.7895042839657282
lgbm_non_calibrated,0.7919706498579447,0.06238046545615423,0.6618035243741766,0.9032413151364764,0.7040425531914893,0.06462588650050036,0.574468085106383,0.8297872340425532,0.6337034830279524,0.11474285108304594,0.42105263157894735,0.8666666666666667,0.6307460079998002,0.11205317386852057,0.4,0.8333333333333334,0.6258212853433164,0.09460060991104079,0.43727678571428574,0.8
gb_non_calibrated,0.7850236591730246,0.06324457046269714,0.6518390804597701,0.8981990622335891,0.6787872340425531,0.06792398155480901,0.5531914893617021,0.8085106382978723,0.599930289240212,0.11107266403408539,0.38095238095238093,0.8095982142857142,0.6252023089348959,0.10863174094284893,0.42082043343653247,0.8235294117647058,0.6060595410680637,0.09121549355439532,0.42424242424242425,0.7727272727272727
rf_non_calibrated,0.8096380260071748,0.06141230382584724,0.6858145245559037,0.9194358178053831,0.7223617021276596,0.06518629152657618,0.5957446808510638,0.851063829787234,0.6321482589750734,0.10246498168235603,0.42105263157894735,0.8260869565217391,0.7347925743542039,0.10406861639456465,0.5,0.9334374999999999,0.6742387385064158,0.08516317074793935,0.5,0.8260869565217391
nb_non_calibrated,0.7931409435103408,0.069765959010569,0.6406714932577002,0.9116809637730691,0.7445106382978723,0.0638153742592764,0.6170212765957447,0.8723404255319149,0.6278029703048785,0.09594903604023979,0.43478260869565216,0.8076923076923077,0.8940606076881307,0.06904957865856223,0.7368421052631579,1.0,0.7333983934277624,0.07648494491054567,0.5651895206243032,0.8636363636363636
svm_non_calibrated,0.724812238542604,0.08037824276813628,0.5610709203036054,0.8813201992753622,0.6547021276595745,0.0699044131692283,0.5106382978723404,0.7872340425531915,0.56415113389926,0.1122583532274766,0.34994565217391305,0.7778985507246375,0.6271704393983694,0.11055347870451049,0.4117647058823529,0.84625,0.58811181072173,0.09468378360476756,0.4,0.758655172413793
knn_non_calibrated,0.7608493400397031,0.06963782685428059,0.6202932330827068,0.892595785440613,0.6798723404255319,0.0671811130198225,0.5531914893617021,0.8085106382978723,0.6239888852474681,0.12486298638169312,0.38461538461538464,0.84625,0.5247623737844332,0.11606621368468878,0.30750000000000005,0.7619747899159662,0.5624596430523688,0.10158430259279842,0.3448275862068966,0.75
lr_non_calibrated,0.7601987764494177,0.07293708957181892,0.6097887085868829,0.8852430555555555,0.6785319148936169,0.06892802355329969,0.5319148936170213,0.8085106382978723,0.5965780702986885,0.11137205422674937,0.3808035714285714,0.8095238095238095,0.6294410986476863,0.1115564851581437,0.4117647058823529,0.8333333333333334,0.6064560673649402,0.09324578547005215,0.4117647058823529,0.782608695652174
